질문문장,조문번호,조문제목,응답템플릿
중대재해가 발생하면 어디에 보고하나요?,제137조,산업안전보건법 제137조 (중대재해 발생 시 보고의무),"📘 산업안전보건법 제137조 (중대재해 발생 시 보고의무)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제137조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
작업중지 명령은 언제 해제되나요?,제94조,산업안전보건법 제94조 (작업중지 해제),"📘 산업안전보건법 제94조 (작업중지 해제)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제94조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
보호구를 제대로 착용하는지 누가 확인하나요?,제134조,산업안전보건법 제134조 (보호구 사용실태 점검),"📘 산업안전보건법 제134조 (보호구 사용실태 점검)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제134조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
근로자도 안전보건에 대해 의견을 낼 수 있나요?,제20조,산업안전보건법 제20조 (근로자의 참여),"📘 산업안전보건법 제20조 (근로자의 참여)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제20조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
화학물질 다루는 작업자는 어떤 건강검진 받나요?,제111조,산업안전보건법 제111조 (화학물질 취급 근로자 건강검진),"📘 산업안전보건법 제111조 (화학물질 취급 근로자 건강검진)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제111조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
안전보건교육 받은 사람은 어떻게 관리하나요?,제140조,산업안전보건법 제140조 (산업안전보건 교육 이수자 관리),"📘 산업안전보건법 제140조 (산업안전보건 교육 이수자 관리)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제140조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
고위험 공정은 어떤 기준으로 관리하나요?,제133조,산업안전보건법 제133조 (고위험공정의 특별관리),"📘 산업안전보건법 제133조 (고위험공정의 특별관리)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제133조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
사고가 발생하면 어떤 기록을 남겨야 하나요?,제136조,산업안전보건법 제136조 (사고 발생 시 사진 및 자료 보존),"📘 산업안전보건법 제136조 (사고 발생 시 사진 및 자료 보존)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제136조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
교육을 외부기관에 맡길 수 있나요?,제119조,산업안전보건법 제119조 (안전보건교육의 외부 위탁),"📘 산업안전보건법 제119조 (안전보건교육의 외부 위탁)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제119조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
안전보건 관련 자료는 얼마나 보관해야 하나요?,제118조,산업안전보건법 제118조 (안전보건자료의 기록 및 보존),"📘 산업안전보건법 제118조 (안전보건자료의 기록 및 보존)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제118조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
산업안전보건위원회는 언제 구성하나요?,제24조,산업안전보건법 제24조 (산업안전보건위원회의 설치),"📘 산업안전보건법 제24조 (산업안전보건위원회의 설치)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제24조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
작업환경측정은 누가 하나요?,제10조,산업안전보건법 제10조 (작업환경측정),"📘 산업안전보건법 제10조 (작업환경측정)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제10조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
사업주는 유해위험설비 설치 시 무엇을 해야 하나요?,제8조,산업안전보건법 제8조 (유해위험방지계획서의 제출),"📘 산업안전보건법 제8조 (유해위험방지계획서의 제출)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제8조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
협력업체와 안전을 위해 어떤 협의체를 구성해야 하나요?,제65조,산업안전보건법 제65조 (도급사업 시 협의체 구성),"📘 산업안전보건법 제65조 (도급사업 시 협의체 구성)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제65조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
도급인이 해야 하는 기본 안전조치는 뭐가 있나요?,제63조,산업안전보건법 제63조 (도급 시의 조치),"📘 산업안전보건법 제63조 (도급 시의 조치)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제63조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
안전보건교육은 언제 받아야 하나요?,제7조,산업안전보건법 제7조 (안전보건교육의 실시),"📘 산업안전보건법 제7조 (안전보건교육의 실시)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제7조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
보호구는 언제 교체해야 하나요?,제52조,산업안전보건법 제52조 (보호구의 착용 등),"📘 산업안전보건법 제52조 (보호구의 착용 등)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제52조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
산업재해가 발생했을 때 조치 순서는?,제46조,산업안전보건법 제46조 (재해발생 시 조치),"📘 산업안전보건법 제46조 (재해발생 시 조치)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제46조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
정기 건강진단 대상자는 누구인가요?,제26조,산업안전보건법 제26조 (건강진단),"📘 산업안전보건법 제26조 (건강진단)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제26조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
고령 근로자 보호를 위한 조치는 무엇인가요?,제114조,산업안전보건법 제114조 (고령 근로자 보호조치),"📘 산업안전보건법 제114조 (고령 근로자 보호조치)

자세한 내용은 다음 링크를 참고하세요:
👉 https://www.law.go.kr/법령/산업안전보건법/제114조
※ 링크가 클릭되지 않으면 위 주소를 복사해 브라우저에 붙여넣어 주세요."
